,Style_1,Style_2,External(SSIM),External(MSE),Internal(SSIM),Internal(MSE),Plan(SSIM),Plan(MSE),Concept(Text),Topology,External(VGG16),Internal(VGG16),Plan(VGG16),Concept(BoW),Concept(Transformer)
Bergpolderflat&Goetheanum,08_EarlyModernism,09_Expressionist,30.33899871,13.56461976,43.42760645,12.85769549,42.70882543,5.038358669,89.57080841,66,0.344350524,0.222033501,0.401697745,0.609271796,0.292089641
Bergpolderflat&HetSchip,08_EarlyModernism,09_Expressionist,24.48642368,11.31639518,43.42104819,11.37502175,40.01635287,4.545518869,88.69251609,54,0.334202237,0.345126301,0.419785197,0.547817344,0.532229781
FagusFactory&Chilehaus,08_EarlyModernism,09_Expressionist,38.76579667,9.564951044,28.34523119,10.3516539,57.68436848,3.834024095,95.50462365,150,0.461942501,0.324727494,0.483241424,0.500420444,0.363353819
FagusFactory&EinsteinTower,08_EarlyModernism,09_Expressionist,37.5799314,9.576718634,42.18690383,10.56281834,51.61393755,4.344834134,88.42371106,65,0.276125416,0.43830248,0.447440783,0.556427342,0.31577602
FagusFactory&Goetheanum,08_EarlyModernism,09_Expressionist,39.6991771,7.698698935,37.87436764,12.17033058,55.14821124,4.417863181,80.73222041,67,0.323073819,0.244073067,0.428008238,0.41843061,0.254834801
FagusFactory&HetSchip,08_EarlyModernism,09_Expressionist,31.05338886,7.319885812,37.68250105,7.483449499,49.80229032,4.398147307,93.00538301,51,0.439707316,0.379276238,0.510306155,0.428999136,0.297961205
Tugendhat&Chilehaus,08_EarlyModernism,09_Expressionist,30.76738235,17.52682907,31.59051786,7.769792746,38.85807731,4.222404392,94.1023767,162,0.419700205,0.236743469,0.36951144,0.591978846,0.458624184
Tugendhat&EinsteinTower,08_EarlyModernism,09_Expressionist,33.69587822,14.49950707,42.64375126,11.27343844,32.95079627,4.697919825,90.01725912,37,0.385432869,0.379254743,0.324948291,0.539234209,0.314467996
Tugendhat&Goetheanum,08_EarlyModernism,09_Expressionist,32.3396499,16.02247449,39.80451728,10.70273262,35.92113739,4.82729007,76.48575306,61,0.456000961,0.248312451,0.339098583,0.475084549,0.328694373
Tugendhat&HetSchip,08_EarlyModernism,09_Expressionist,30.40313868,10.95045363,38.34346594,7.415701548,30.37174417,4.825281145,92.28462577,49,0.361047383,0.316564038,0.384194016,0.586304833,0.450901628
Zonnestraal&Chilehaus,08_EarlyModernism,09_Expressionist,29.37109958,15.58312492,17.58398251,10.75795022,75.11328119,1.922154668,92.1173811,156,0.364480495,0.27727982,0.484913915,0.640394399,0.353844613
Zonnestraal&EinsteinTower,08_EarlyModernism,09_Expressionist,30.70021677,15.10800444,30.45361363,9.571759136,62.40571093,3.410094878,86.6859436,171,0.36258553,0.329739265,0.506120344,0.640572721,0.269023925
Zonnestraal&Goetheanum,08_EarlyModernism,09_Expressionist,31.10407257,14.07782454,25.20984682,9.730055695,67.32445061,3.498376792,79.74901199,157,0.380231716,0.205127854,0.472622454,0.569521429,0.358018935
Zonnestraal&HetSchip,08_EarlyModernism,09_Expressionist,24.7841068,13.16714903,23.55612877,6.173739248,69.82685195,2.356434276,93.92085671,151,0.374763712,0.28463646,0.479182512,0.558145572,0.459623128
